,Land,Water,Legs,2Legs,4Legs,6Limbs,8MoreLimbs,Herbivore,Carnivore,Fly,Mammal,Exoskeleton,Nocturnal,Eggs,Domesticated,Rodent,Hairy,Work,Equine,Hooves,Vertebrate,Shear,Europe,Asia,Africa,Australia,Americas,NorthAmerica,SouthAmerica,Baleen,2wings,Grazer,Tusks,Brain,Pet,Primate,Bovine,Tree,Blowhole,Hump,EatInsect,Feline,Eusocial,Spotted,Striped,Arctic,Pacific,Atlantic,Freshwater,Social,Horns,Canine,Tunneling,Smell,Spiny,Bird,Elytra,FastestLand,Jump,Proboscis
,Does it live on land?,Does it live in water?,Does it have legs?,Does it have 2 legs?,Does it have 4 legs?,Does it have 6 limbs?,Does it have 8 or more limbs?,Does it eat plants?,Does it eat other animals?,Does it fly?,Is it a mammal?,Does it have an exoskeleton?,Is it nocturnal?,Does it lay eggs?,Has it been domesticated?,Is it a rodent?,Is it hairy/furry (completely covered)?,Is it a working animal?,Is it an equine?,Does it have hooves?,Is it a vertebrate?,Can you shear it?,Can it be naturally found on land in Europe?,Can it be naturally found on land in Asia?,Can it be naturally found on land in Africa?,Can it be naturally found on land in Australia?,Can it be naturally found on land in the Americas?,Can it be naturally found on land in North America?,Can it be naturally found on land in South America?,Can it have baleen?,Does it have two pairs of wings?,Is it a grazer?,Can it have tusks?,Does it have a brain?,Is it a common house pet?,Is it a primate?,Is it a bovine?,Does it live in trees?,Does it have a blowhole?,Does it have a hump?,Does it usually eat insects?,Is it a feline?,Does it live in colonies?,Does it have spots?,Does it have stripes?,Does it live in the Artic Ocean?,Does it live in the Pacific Ocean?,Does it live in the Atlantic Ocean?,Does it live in freshwater?,Does it live with others of its species?,Does it have some one or more horns?,Is it a canine?,Does it tunnel?,Do they ward of predators with smell?,Does it have spines (on its body)?,Is it a bird?,Does it have elytra?,Is it the fastest land animal?,Are they known for their ability to jump?,Does it have a proboscis?
Person,Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,N,N,?,N,N,?,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,?,Y,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,?,N,N,N,?,N,?,N
Elephant,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,?,Y,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
Polar Bear,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,?,N,N,N,?,N,N,N,N,?,?,Y,N,N,N,?,N,N,?,N,?,N,N,Y,N,N,N,?,N,?,N,N,N,N,?,N,?,N
Panda,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,?,?,Y,N,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
Jellyfish,N,Y,N,N,N,N,?,Y,?,N,N,N,?,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,?,?,?,N,?,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
Koala,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,?,?,?,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
Chicken,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,?,Y,Y,Y,N,?,?,?,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,?,Y,N,?,N,N,N,Y,?,N,?,N
Duck,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,?,?,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,Y,Y,N,?,N,N,N,Y,?,N,?,N
Tortoise,Y,N,Y,N,Y,N,N,Y,?,N,N,Y,N,Y,?,N,N,N,N,N,Y,N,Y,Y,?,?,Y,Y,Y,N,?,?,?,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,?,N,N,N,?,N,?,N
Frog,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,Y,?,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,?,N,Y,?,N,N,?,N,N,Y,N,?,N,N,?,?,?,?,?,N,?,?,N,N,N,?,N,?,N
Bat,?,N,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,?,N,N,N,Y,N,?,?,?,?,Y,Y,Y,N,?,?,?,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
Crab,?,?,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,?,N,N,N,N,N,N,?,?,?,?,?,?,N,?,?,?,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,Y,?,N,?,N,N,N,N,?,N,?,N
Dog,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,?,?,?,Y,Y,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
Whale,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,?,?,?,Y,N,N,N,?,Y,?,?,N,?,N,N,Y,Y,Y,?,?,N,?,N,N,N,N,?,N,?,N
Kangaroo,Y,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,?,?,?,Y,N,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
Armadillo,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,?,?,Y,N,N,N,?,N,N,?,N,?,N,?,?,?,?,?,?,N,?,?,N,N,N,?,N,?,N
Cockatoo,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,?,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,N,N,N,Y,?,N,?,N
Snake,Y,?,N,N,N,N,N,N,Y,N,N,N,?,Y,?,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,?,?,?,Y,?,N,N,?,N,N,?,N,?,?,N,?,?,?,?,?,N,?,?,N,N,N,?,N,?,N
Penguin,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,Y,N,?,?,?,Y,N,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,N,N,N,Y,?,N,?,N
Cat,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,?,N,Y,N,Y,?,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,?,?,Y,Y,N,N,?,N,N,?,Y,?,N,?,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
Squirrel,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,?,?,?,Y,N,N,N,Y,N,N,?,N,?,N,?,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
Racoon,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,?,?,?,Y,N,N,N,?,N,N,?,N,?,?,?,?,?,?,?,?,N,N,N,N,N,N,?,N,?,N
Alligator,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,Y,N,N,?,?,?,Y,N,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
Ant,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,?,?,?,?,?,N,N,?,N,N,?,N,Y,N,N,?,?,?,?,Y,N,?,Y,N,N,N,?,N,?,N
Bear,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,?,?,?,Y,N,N,N,?,N,N,N,N,?,N,N,?,?,?,?,N,N,N,N,N,N,N,?,N,?,N
bee,Y,N,Y,N,N,Y,N,N,Y,Y,N,Y,?,Y,Y,N,?,?,N,N,N,N,Y,?,?,?,Y,Y,Y,N,?,?,?,?,?,N,N,?,N,N,?,N,Y,N,N,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
camel,Y,N,Y,N,Y,N,N,Y,?,N,Y,N,N,N,N,N,?,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,?,?,N,Y,N,N,N,?,N,Y,?,N,?,N,N,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
cheetah,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,?,Y,N,N,N,N,N,?,?,?,Y,N,N,N,?,N,N,?,Y,?,Y,N,?,?,?,?,?,N,?,N,N,N,N,?,Y,?,N
chimpanzee,Y,N,Y,?,?,N,N,Y,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
cow,Y,N,Y,N,Y,N,N,Y,?,N,Y,N,N,N,Y,N,Y,?,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,?,?,?,Y,N,N,Y,?,N,N,?,N,?,Y,N,?,?,?,?,?,Y,?,N,N,N,N,?,N,?,N
crocodile,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,?,?,?,Y,?,N,N,?,N,N,N,N,?,N,N,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
deer,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,?,N,?,?,?,Y,?,N,N,?,N,N,?,N,?,?,?,?,?,?,?,?,N,?,N,N,N,N,?,N,?,N
dolphin,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,?,?,?,?,?,?,?,N,?,?,N,Y,?,N,N,?,Y,N,?,N,?,N,N,Y,Y,Y,?,?,N,?,N,N,N,N,?,N,?,N
eagle,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,?,?,?,Y,?,N,N,?,N,N,N,N,?,N,N,?,?,?,?,?,N,?,N,N,N,Y,?,N,?,N
fly,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,?,?,?,?,N,N,?,N,N,?,N,N,N,N,?,?,?,?,N,N,?,N,N,N,N,N,N,?,N
fox,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,?,Y,Y,?,N,?,?,N,Y,N,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,Y,N,N,N,N,N,N,?,N
giraffe,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,?,?,?,Y,?,N,N,?,N,N,?,N,?,Y,N,?,?,?,?,?,N,N,N,N,N,N,?,N,?,N
goat,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,?,N,?,Y,?,N,N,?,N,N,?,N,?,N,?,?,?,?,?,?,Y,N,N,N,N,N,?,N,?,N
Guinea pig/Hamster,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,?,Y,?,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,?,N,Y,Y,N,N,?,N,N,?,N,N,N,N,N,N,N,N,?,N,N,?,N,N,N,?,N,N,N
hippopotamus,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,?,N,N,N,N,N,N,?,Y,N,N,N,Y,N,N,N,N,N,?,?,Y,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,N,N,N,N,N,?,N,N,N
horse,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,?,Y,Y,Y,N,?,?,?,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,N,N,N,N,N,?,N,N,N
lion,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,?,N,Y,?,N,N,?,N,N,?,Y,?,N,N,?,?,?,?,Y,N,N,N,N,N,N,?,N,N,N
lobster,N,Y,Y,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,?,N,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,N,?,N,N,N,N,N,N,?,N,N,N
gorilla,Y,N,Y,?,?,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,?,?,?,Y,?,Y,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,N,N,N,N,N,?,N,N,N
octopus,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,?,?,?,Y,?,N,N,?,N,N,?,N,?,N,N,?,?,?,?,?,N,N,N,N,N,N,?,N,N,N
owl,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,?,?,?,?,Y,Y,Y,N,?,?,?,Y,?,N,N,?,N,N,Y,N,?,N,N,?,?,?,?,?,N,N,N,N,N,?,?,N,N,N
pig,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,?,?,?,Y,N,N,N,?,N,N,?,N,?,?,N,?,?,?,?,?,N,N,N,N,N,N,?,N,N,N
rabbit,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,?,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,?,?,?,Y,?,N,N,N,N,N,?,N,?,N,N,?,?,?,?,?,N,N,N,N,N,N,?,N,Y,N
